Pclass,Sex,Age,Fare,FamilySize,IsAlone,Embarked_C,Embarked_Q,Embarked_S,Survived
3,1,-0.322181974830988,0.5138115038918489,-0.5563385795422586,1,0,0,1,1
2,1,0.05357491000082355,-0.6625632269369692,-0.5563385795422586,1,0,0,1,0
1,1,0.8050886796644466,3.9553985809041556,-0.5563385795422586,1,0,0,1,0
3,0,-0.8482416135955242,-0.4678743521312413,0.07341192703021858,0,0,0,1,1
2,0,0.12872628696718585,-0.11597681371233177,0.7031624336026958,0,0,0,1,1
3,1,-0.6227874826964372,-0.48696219079802316,-0.5563385795422586,1,0,0,1,0
3,1,-0.2470305978646257,0.5138115038918489,-0.5563385795422586,1,0,0,1,1
1,1,0.8050886796644466,4.075039579498675,-0.5563385795422586,1,1,0,0,0
3,1,-0.322181974830988,-0.5011900954135049,-0.5563385795422586,1,0,1,0,1
3,0,0.12872628696718585,-0.2877611150115036,0.07341192703021858,0,0,0,1,0
1,1,2.0075107111262436,0.07662982713825477,-0.5563385795422586,1,1,0,0,1
3,0,-0.6227874826964372,-0.45798374084431925,0.07341192703021858,0,0,0,1,0
3,1,-0.322181974830988,0.7856304888639273,5.741166486182514,0,0,0,1,0
1,1,2.0075107111262436,-0.10973011184690733,-0.5563385795422586,1,0,0,1,0
3,1,-0.6227874826964372,-0.5001489784359341,-0.5563385795422586,1,0,0,1,0
1,0,0.2790290408999105,1.2114473326903592,0.07341192703021858,0,0,1,0,1
3,1,-0.6227874826964372,-0.5015378284840135,-0.5563385795422586,1,0,1,0,0
3,1,-0.322181974830988,-0.5116012651892122,-0.5563385795422586,1,0,0,1,0
3,1,1.0305428105635335,-0.5282591368303441,-0.5563385795422586,1,0,0,1,0
3,0,-0.5852117942132561,-0.13228695228295498,1.9626634467476503,0,0,0,1,0
3,1,0.05357491000082355,-0.32732356015919156,0.07341192703021858,0,0,0,1,0
1,0,0.20387766393354817,0.9260084554177004,-0.5563385795422586,1,1,0,0,1
1,0,0.4293317948326351,0.9865660655350799,-0.5563385795422586,1,1,0,0,1
2,1,-0.7730902366291619,-0.44392866164711425,-0.5563385795422586,1,0,0,1,1
3,1,-0.3973333517973503,-0.49815419830690855,-0.5563385795422586,1,0,0,1,0
2,0,1.180845564496258,-0.38146164299287,-0.5563385795422586,1,0,0,1,1
3,1,-0.4724847287637126,-0.49815419830690855,-0.5563385795422586,1,0,0,1,0
3,1,0.9553914335971713,-0.48756812087896934,0.07341192703021858,0,0,0,1,0
1,0,0.7299373026980843,1.0689871321814448,0.7031624336026958,0,1,0,0,1
3,1,-0.9985443675282488,-0.4949433935480804,-0.5563385795422586,1,0,0,1,1
3,1,-0.322181974830988,-0.49815419830690855,-0.5563385795422586,1,0,0,1,0
2,1,2.759024480789867,-0.44392866164711425,-0.5563385795422586,1,0,0,1,0
1,1,-0.09672784393190106,-0.10973011184690733,-0.5563385795422586,1,0,0,1,1
2,1,1.631753826294432,-0.40176342405549936,-0.5563385795422586,1,0,0,1,0
2,1,1.3311483184289827,-0.35022813366574784,-0.5563385795422586,1,0,0,1,0
3,1,-0.8482416135955242,-0.4949433935480804,-0.5563385795422586,1,0,0,1,1
2,1,0.5044831717989974,-0.3918728127685774,-0.5563385795422586,1,0,0,1,0
2,0,0.05357491000082355,-0.3918728127685774,-0.5563385795422586,1,0,0,1,1
2,0,-0.5476361057300749,-0.058715379945941185,0.7031624336026958,0,0,0,1,1
3,0,-0.5852117942132561,-0.5011900954135049,-0.5563385795422586,1,0,1,0,0
2,1,-0.322181974830988,-0.3918728127685774,-0.5563385795422586,1,0,0,1,0
